word,frequency
good,162
new,105
other,85
own,82
great,73
much,73
bad,73
first,72
little,65
real,64
old,56
hard,54
big,53
white,48
many,48
such,48
few,46
sure,43
young,43
live,43
nice,41
ai n't,40
only,38
same,37
single,35
black,34
last,33
title tune,32
i 'll,32
right,32
interesting,29
vocal,28
second,25
musical,25
next,24
high,24
dumb,23
american,23
funny,23
heavy,22
sweet,21
true,20
usual,19
commercial,19
whole,19
romantic,18
long,18
simple,18
original,18
slow,17
