word,frequency
good,215
new,193
much,146
first,133
other,129
own,126
great,123
many,107
little,102
old,102
young,100
such,89
big,78
last,75
live,75
same,74
sure,70
black,68
musical,68
few,67
hard,65
real,63
american,59
ai n't,58
bad,57
white,50
right,50
vocal,49
second,47
long,43
dead,42
high,40
true,38
african,37
next,37
classic,37
single,36
i 'll,36
only,36
i hope,36
short,35
green,34
simple,33
original,33
strong,31
romantic,31
late,30
free,30
nice,30
perfect,30
