word,frequency
new,12
i need,10
little,10
gon na,10
closet chapter,10
free,9
blender,8
i wan na,8
bad,8
good,7
big,6
ai n't,6
i ca n't,6
much,5
easy,5
n't look,4
black,4
n't work,4
same,4
n't need,4
live,4
old,4
i 'll,4
new jack,4
real talk,4
mr. hood,4
pure rock,4
's boogey,4
elf dance,4
coma girl,4
young,3
u,3
many,3
own,3
long,3
ready,3
white,3
dead,3
next,3
natural,3
cool,3
american,3
right lil,2
mr. superlove,2
heaven boy,2
el pussy cat ska,2
jack ruby,2
