word,frequency
good,37
new,25
inspirational verse,18
little,17
old,17
first,16
live,15
own,15
bad,14
much,14
other,14
great,13
many,12
single,12
white,11
such,10
few,10
only,10
young,9
inspirational,9
last,9
dead,8
big,8
new wave,8
same,8
second,7
real,7
high,7
whole,7
nice,7
american,6
usual,6
grand,6
time i,6
black,6
hard,6
ai n't,6
rich,6
graham nash,6
i hope,6
interesting,6
whole side,6
title tune,6
i ca n't,6
sure,5
pretentious,5
original,5
human,5
top,5
i 'll,4
