isSoundTrack,rank,album,artist,year,url,comment
FALSE,S,Backstreet's Back,Backstreet Boys,1997,https://www.robertchristgau.com/get_album.php?id=10358,"
""That's the Way I Like It""
"
FALSE,S,The Empire Strikes First,Bad Religion,2004,https://www.robertchristgau.com/get_album.php?id=12519,"
""Los Angeles Is Burning,"" ""Let Them Eat War""
"
FALSE,S,BB Queen,Bahamadia,2000,https://www.robertchristgau.com/get_album.php?id=10769,"
""Commonwealth (Cheap Chicks)""
"
FALSE,S,Nu Made [Remixes],Balkan Beat Box,2009,https://www.robertchristgau.com/get_album.php?id=14741,"
""Ramallah-Tel Aviv""
"
FALSE,S,Let Me Play With Your Poodle,Marcia Ball,1997,https://www.robertchristgau.com/get_album.php?id=10359,"
""Let Me Play with Your Poodle""
"
FALSE,S,Brainwasher,Bare Jr.,2000,https://www.robertchristgau.com/get_album.php?id=10778,"
""Why Do I Need a Job""
"
FALSE,S,Mandy Barnett,Mandy Barnett,1996,https://www.robertchristgau.com/get_album.php?id=10360,"
""Planet of Love""
"
FALSE,S,Anthology 3,The Beatles,1996,https://www.robertchristgau.com/get_album.php?id=10362,"
""I've Got a Feeling""; ""What's the New Mary Jane""
"
FALSE,S,Excursion on the Version,Beats International,1992,https://www.robertchristgau.com/get_album.php?id=10363,"
""Brand New Beat""
"
FALSE,S,Beercan,Beck,1994,https://www.robertchristgau.com/get_album.php?id=10364,"
""Got No Mind""
"
FALSE,S,Modern Guilt,Beck,2008,https://www.robertchristgau.com/get_album.php?id=14183,"
""Walls""
"
FALSE,S,A Little Bit of Mambo,Lou Bega,1999,https://www.robertchristgau.com/get_album.php?id=10366,"
""Mambo No. 5 (A Little Bit of . . . )""
"
FALSE,S,Star,Belly,1993,https://www.robertchristgau.com/get_album.php?id=10368,"
""Slow Dog""; ""Feed the Tree""
"
FALSE,S,Lying to the Moon and Other Stories,Matraca Berg,1999,https://www.robertchristgau.com/get_album.php?id=10371,"
""Back in the Saddle""
"
FALSE,S,Old Stag,Rick Berlin,2008,https://www.robertchristgau.com/get_album.php?id=14504,"
""Michiko""
"
FALSE,S,Smartie Mine,Dan Bern,1999,https://www.robertchristgau.com/get_album.php?id=10372,"
""Talkin' Woody, Bob, Bruce &amp; Dan Blues""; ""True Revolutionaries""; ""Cocaine/Blue Jay Way""
"
FALSE,S,My Country II,Dan Bern,2004,https://www.robertchristgau.com/get_album.php?id=12518,"
""Bush Must Be Defeated""
"
FALSE,S,Good Stuff,B-52's,1992,https://www.robertchristgau.com/get_album.php?id=10375,"
""Is That You Mo-Dean?""; ""Hot Pants""
"
FALSE,S,Chopper City in the Ghetto,B.G.,1999,https://www.robertchristgau.com/get_album.php?id=10376,"
""Intro (Big Tymers)""
"
FALSE,S,Armchair Apocrypha,Andrew Bird,2007,https://www.robertchristgau.com/get_album.php?id=13998,"
""Scythian Empires""
"
FALSE,S,The Bird and the Bee,The Bird and the Bee,2007,https://www.robertchristgau.com/get_album.php?id=13506,"
""F*cking Boyfriend""
"
FALSE,S,Please Clap Your Hands,The Bird and the Bee,2008,https://www.robertchristgau.com/get_album.php?id=13958,"
""Polite Dance Song""
"
FALSE,S,Ace in the Hole,Elvin Bishop,1995,https://www.robertchristgau.com/get_album.php?id=10377,"
""Another Mule Kickin' in Your Stall""
"
FALSE,S,Sour Juice and Rhyme,Bitch and Animal,2003,https://www.robertchristgau.com/get_album.php?id=12140,"
""Croquet""
"
FALSE,S,Weekend Warrior,Biz Markie,2003,https://www.robertchristgau.com/get_album.php?id=12252,"
""Tear Shit Up""
"
FALSE,S,Medulla,Bjï¿½ï,2004,https://www.robertchristgau.com/get_album.php?id=12729,"
""Triumph of a Heart""
"
FALSE,S,Black Letter Days,Frank Black and the Catholics,2002,https://www.robertchristgau.com/get_album.php?id=11827,"
""The Black Rider,"" ""1826""
"
FALSE,S,Life Story,Black Rob,1999,https://www.robertchristgau.com/get_album.php?id=10768,"
""Whoa!""
"
FALSE,S,A Wolf in Sheep's Clothing,Black Sheep,1991,https://www.robertchristgau.com/get_album.php?id=10379,"
""The Choice Is Yours""; ""U Mean I'm Not""
"
FALSE,S,Art Blakey's Jazz Messengers With Thelonious Monk,Art Blakey & Thelonious Monk,1999,https://www.robertchristgau.com/get_album.php?id=11676,"
""Blue Monk (Alternate Take)"", ""Evidence (Alternate Take)""
"
FALSE,S,Just Woke Up,Peter Blegvad,1996,https://www.robertchristgau.com/get_album.php?id=10380,"
""Daughter""
"
FALSE,S,The Singles,Blessid Union of Souls,2001,https://www.robertchristgau.com/get_album.php?id=11599,"
""Hey Leonardo (She Likes Me for Me)""
"
FALSE,S,A Weekend in the City,Bloc Party,2007,https://www.robertchristgau.com/get_album.php?id=13557,"
Many second-level pop stars have looked dumber agonizing over their own success than Kele Okereke. But however obsessed he may be with the celebrity fleshpots he frequents so unhappily on the lead cut, they remain a cliche to which he adds nothing, including a decent tune. Elsewhere he bemoans his inability to love, and so it goes. Okereke is singing with size and emotion, and producer Jacknife Lee noises things up nicely. But Bloc Party's beaty songcraft was never as intrinsically attractive as their multiracial image, and though the new bunch are sharply executed, they cry out for killer choruses now that they're not just outcries of generational frustration. The terrorist paranoia meditation ""Hunting for Witches"" is brought home by such a chorus, as is the strung-out ""Sunday."" But too often Okereke relies on his celebrity and production budget to make us listen. He should ask Brandon Flowers--this doesn't work. [<a href=""/xg/rs/blocparty-07.php"">Rolling Stone: 3</a>]<br/>""Hunting for Witches""
"
FALSE,S,Blondie Live,Blondie,1999,https://www.robertchristgau.com/get_album.php?id=10382,"
""Rapture""
"
FALSE,S,Join Us,Hamiet Bluiett/D.D. Jackson/Mor Thiam,1999,https://www.robertchristgau.com/get_album.php?id=10757,"
""Papa""
"
FALSE,S,Parklife,Blur,1994,https://www.robertchristgau.com/get_album.php?id=12009,"
""Girls &amp; Boys""
"
FALSE,S,Blur,Blur,1997,https://www.robertchristgau.com/get_album.php?id=10384,"
""Song 2""
"
FALSE,S,Give Me Some Wheels,Suzy Bogguss,1996,https://www.robertchristgau.com/get_album.php?id=10385,"
""She Said, He Heard""
"
FALSE,S,In a Metal Mood: No More Mr. Nice Guy,Pat Boone,1997,https://www.robertchristgau.com/get_album.php?id=10387,"
""Smoke on the Water""
"
FALSE,S,Born Gangstaz,Boss,1993,https://www.robertchristgau.com/get_album.php?id=10388,"
""I Don't Give a Fuck""
"
FALSE,S,Essential David Bowie: Best of 1969-1974,David Bowie,1997,https://www.robertchristgau.com/get_album.php?id=10389,"
""All the Young Dudes""
"
FALSE,S,Modbilly,The Boxmasters,2009,https://www.robertchristgau.com/get_album.php?id=14696,"
""Reasons for Livin'""
"
FALSE,S,Evolution,Boyz II Men,1997,https://www.robertchristgau.com/get_album.php?id=10390,"
""The Girl in the Life Magazine""
"
