word,frequency
good,36
new,34
great,28
little,26
much,26
old,26
hard,18
many,18
own,18
big,18
bad,16
ai n't,16
black,16
live,15
musical,14
american,13
i 'll,12
other,12
real,11
young,11
fine,10
[,10
beautiful,10
white,10
low,9
african,9
human,9
high,9
happy,8
right,8
first,8
sweet,8
conscious,8
i wan na,8
gon na,8
true,8
few,7
dead,7
nice,7
hot,7
same,7
strange,7
malian,7
such,6
enough,6
next,6
single,6
broken,6
rich,6
new songs,6
