word,frequency
dreadful i,2
i trust,2
spanish person,2
high heels,2
medieval medicine,2
indifferent collection,2
patriotic songs,2
anti-war record,2
title lets,2
own joke,2
dreadful,1
instantaneous,1
anglo-iberian,1
real,1
live,1
spanish,1
high,1
humour,1
medieval,1
indifferent,1
patriotic,1
anti-war,1
worth,1
own,1
