word,frequency
great,31
first,24
many,19
little,18
only,17
new,16
other,16
own,15
old,15
good,15
much,13
young,12
high,11
hard,10
black,10
few,9
great album,8
perfect,8
live,8
such,8
musical,8
big,7
bad,7
original,7
american,7
vocal,7
sure,7
beautiful,6
i doubt,6
same,6
lyrical,6
two-cd,6
dead,6
long,6
whole,5
full,5
right,5
free,5
real,5
20th century,4
african,4
whole lot,4
last,4
world war iii,4
aural,4
white,4
simple,4
i hope,4
sweet,4
horace silver,4
