word,frequency
good,141
new,102
great,74
much,61
own,58
first,55
young,54
bad,54
big,51
other,51
live,50
little,50
old,49
real,47
such,44
many,44
sure,41
white,41
i 'll,40
single,39
black,39
hard,38
few,33
last,33
same,32
i guess,32
next,31
only,29
vocal,27
ai n't,26
second,25
original,24
musical,23
long,22
high,22
nice,22
title tune,22
right,21
usual,19
dead,19
commercial,18
i hope,18
heavy,18
good songs,18
american,18
wrong,17
interesting,17
political,17
short,17
rich,17
