word,frequency
good,347
new,259
great,240
little,217
much,215
first,194
own,169
other,167
old,156
many,142
big,142
same,130
such,120
black,116
real,116
bad,112
live,109
last,107
hard,104
young,100
second,92
white,91
i 'll,90
few,85
ai n't,84
sure,83
only,77
vocal,71
right,68
nice,66
high,65
musical,64
original,63
long,58
funny,57
usual,56
slow,55
true,55
single,54
next,54
simple,50
classic,49
english,48
special,46
enough,45
romantic,43
african,43
sweet,42
american,42
free,41
