word,frequency
good,216
new,144
first,121
little,111
great,109
own,94
much,93
other,89
old,74
such,73
bad,68
real,66
last,65
many,61
i 'll,56
live,56
big,55
ai n't,52
single,51
white,48
young,48
hard,47
black,46
only,45
sure,45
same,45
nice,40
vocal,39
usual,39
whole,36
second,36
musical,35
next,33
good songs,32
right,32
few,32
interesting,31
long,31
original,29
high,26
band 's,26
i guess,26
funny,25
slow,25
american,25
i hope,24
enough,24
true,24
commercial,23
english,23
