word,frequency
good,56
new,37
little,33
old,32
black,28
real,24
own,24
ai n't,24
last,22
great,22
hard,20
much,19
bad,18
other,18
i 'll,18
big,18
live,16
nice,13
white,13
i ca n't,12
first,11
beautiful,11
many,11
long,11
dead,11
young,10
true,10
conscious,10
next,9
funny,9
enough,9
few,9
single,9
wrong,9
happy,9
red,8
blue,8
hot,8
high,8
american,8
full,7
right,7
sweet,7
[,7
fine,7
easy,6
decent,6
acoustic,6
original,6
weird,6
