word,frequency
good,56
old,56
new,44
great,38
much,33
big,31
own,26
little,25
hard,21
many,20
last,20
young,19
black,18
bad,18
other,17
live,17
real,16
ai n't,16
white,14
high,14
same,13
smart,12
world 's,12
right,12
american,12
nice,11
wrong,11
long,11
african,11
few,11
gon na,10
musical,9
free,9
dead,9
tricky,9
modern,9
good thing,8
conscious,8
low,8
easy,8
old man,8
dark,8
proud,7
deep,7
sweet,7
[,7
rare,7
first,7
happy,6
electric,6
